incident_id,year,stage,reason
1105,2025,keyword-triage,out-of-scope-type
1107,2025,keyword-triage,out-of-scope-type
1110,2025,keyword-triage,out-of-scope-type
1111,2025,keyword-triage,out-of-scope-type
1112,2025,keyword-triage,out-of-scope-type
1113,2025,keyword-triage,out-of-scope-type
1114,2025,keyword-triage,out-of-scope-type
1115,2025,keyword-triage,out-of-scope-type
1116,2025,keyword-triage,out-of-scope-type
1117,2025,keyword-triage,out-of-scope-type
1119,2025,keyword-triage,out-of-scope-type
1120,2025,keyword-triage,out-of-scope-type
1121,2025,keyword-triage,out-of-scope-type
1122,2025,keyword-triage,out-of-scope-type
1124,2025,keyword-triage,out-of-scope-type
1126,2025,keyword-triage,out-of-scope-type
1127,2025,keyword-triage,out-of-scope-type
1129,2024,keyword-triage,out-of-scope-type
1130,2025,keyword-triage,out-of-scope-type
1131,2025,keyword-triage,out-of-scope-type
1133,2025,keyword-triage,out-of-scope-type
1134,2025,keyword-triage,out-of-scope-type
1136,2025,keyword-triage,out-of-scope-type
1140,2025,keyword-triage,out-of-scope-type
1141,2025,keyword-triage,out-of-scope-type
1142,2025,keyword-triage,out-of-scope-type
1143,2025,keyword-triage,out-of-scope-type
1147,2025,keyword-triage,out-of-scope-type
1148,2025,keyword-triage,out-of-scope-type
1150,2025,keyword-triage,out-of-scope-type
1153,2025,keyword-triage,out-of-scope-type
1154,2025,keyword-triage,out-of-scope-type
1156,2025,keyword-triage,out-of-scope-type
1162,2025,keyword-triage,out-of-scope-type
1163,2024,keyword-triage,out-of-scope-type
1170,2025,keyword-triage,out-of-scope-type
1175,2025,keyword-triage,out-of-scope-type
1182,2025,keyword-triage,out-of-scope-type
1185,2025,keyword-triage,out-of-scope-type
1191,2025,keyword-triage,out-of-scope-type
1194,2024,keyword-triage,out-of-scope-type
1195,2025,keyword-triage,out-of-scope-type
1199,2025,keyword-triage,out-of-scope-type
1203,2025,keyword-triage,out-of-scope-type
1206,2025,keyword-triage,out-of-scope-type
1207,2025,keyword-triage,out-of-scope-type
1208,2025,keyword-triage,out-of-scope-type
1214,2025,keyword-triage,out-of-scope-type
1217,2025,keyword-triage,out-of-scope-type
1221,2025,keyword-triage,out-of-scope-type
1223,2025,keyword-triage,out-of-scope-type
1224,2025,keyword-triage,out-of-scope-type
1225,2025,keyword-triage,out-of-scope-type
1226,2025,keyword-triage,out-of-scope-type
1227,2025,keyword-triage,out-of-scope-type
1229,2025,keyword-triage,out-of-scope-type
1231,2025,keyword-triage,out-of-scope-type
1233,2025,keyword-triage,out-of-scope-type
1234,2025,keyword-triage,out-of-scope-type
1235,2025,keyword-triage,out-of-scope-type
1237,2025,keyword-triage,out-of-scope-type
1239,2025,keyword-triage,out-of-scope-type
1240,2025,keyword-triage,out-of-scope-type
1241,2025,keyword-triage,out-of-scope-type
1242,2025,keyword-triage,out-of-scope-type
1244,2025,keyword-triage,out-of-scope-type
1245,2024,keyword-triage,out-of-scope-type
1246,2025,keyword-triage,out-of-scope-type
1249,2025,keyword-triage,out-of-scope-type
1254,2025,keyword-triage,out-of-scope-type
1255,2025,keyword-triage,out-of-scope-type
1256,2025,keyword-triage,out-of-scope-type
1258,2025,keyword-triage,out-of-scope-type
1260,2024,keyword-triage,out-of-scope-type
1261,2025,keyword-triage,out-of-scope-type
1262,2025,keyword-triage,out-of-scope-type
1264,2025,keyword-triage,out-of-scope-type
1266,2025,keyword-triage,out-of-scope-type
1269,2025,keyword-triage,out-of-scope-type
1271,2025,keyword-triage,out-of-scope-type
1272,2025,keyword-triage,out-of-scope-type
1273,2025,keyword-triage,out-of-scope-type
1276,2023,keyword-triage,out-of-scope-type
1280,2023,keyword-triage,out-of-scope-type
1283,2025,keyword-triage,out-of-scope-type
1285,2025,keyword-triage,out-of-scope-type
1287,2025,keyword-triage,out-of-scope-type
1288,2025,keyword-triage,out-of-scope-type
1289,2025,keyword-triage,out-of-scope-type
